index group
321 Somatomotor:Somatomotor
322 Somatomotor:Somatomotor
323 Somatomotor:Somatomotor
324 Somatomotor:Somatomotor
325 Somatomotor:Somatomotor
326 Visual:Amygdala
327 Visual:Amygdala
328 Visual:Amygdala
329 Visual:Amygdala
330 Visual:Amygdala
331 Visual:Amygdala
332 Visual:Amygdala
333 Visual:Amygdala
334 Auditory:Amygdala
335 Auditory:Amygdala
336 Auditory:Amygdala
337 Auditory:Amygdala
338 Somatomotor:Amygdala
339 Somatomotor:Amygdala
340 Somatomotor:Amygdala
341 Somatomotor:Amygdala
342 Somatomotor:Amygdala
343 Somatomotor:Amygdala
344 Somatomotor:Amygdala
345 Somatomotor:Amygdala
346 Somatomotor:Amygdala
347 Somatomotor:Amygdala
348 Somatomotor:Amygdala
349 Somatomotor:Amygdala
350 Somatomotor:Amygdala
351 Somatomotor:Amygdala
352 Visual:Amygdala
353 Visual:Amygdala
354 Visual:Amygdala
355 Visual:Amygdala
356 Visual:Amygdala
357 Visual:Amygdala
358 Visual:Amygdala
359 Visual:Amygdala
360 Auditory:Amygdala
361 Auditory:Amygdala
362 Auditory:Amygdala
363 Auditory:Amygdala
364 Somatomotor:Amygdala
365 Somatomotor:Amygdala
366 Somatomotor:Amygdala
367 Somatomotor:Amygdala
368 Somatomotor:Amygdala
369 Somatomotor:Amygdala
370 Somatomotor:Amygdala
371 Somatomotor:Amygdala
372 Somatomotor:Amygdala
373 Somatomotor:Amygdala
374 Somatomotor:Amygdala
375 Somatomotor:Amygdala
376 Somatomotor:Amygdala
377 Somatomotor:Amygdala
378 Amygdala:Amygdala
379 demographic
